x-axis,1,2,3
second,Volt,Volt,Volt
-340.70000E-06,+1.15429687500E+00,+126.95312500E-03,+4.97656250000E+00
-340.65000E-06,+1.15332031250E+00,+126.95312500E-03,+4.95898437500E+00
-340.60000E-06,+1.15527343750E+00,+138.67187500E-03,+4.97070312500E+00
-340.55000E-06,+1.15136718750E+00,+130.85937500E-03,+4.95507812500E+00
-340.50000E-06,+1.15234375000E+00,+134.76562500E-03,+4.97070312500E+00
-340.45000E-06,+1.15234375000E+00,+128.90625000E-03,+4.96875000000E+00
-340.40000E-06,+1.15039062500E+00,+134.76562500E-03,+4.96679687500E+00
-340.35000E-06,+1.14843750000E+00,+144.53125000E-03,+4.96289062500E+00
-340.30000E-06,+1.15136718750E+00,+132.81250000E-03,+4.96093750000E+00
-340.25000E-06,+1.15039062500E+00,+130.85937500E-03,+4.96679687500E+00
-340.20000E-06,+1.15039062500E+00,+125.00000000E-03,+4.96679687500E+00
-340.15000E-06,+1.15234375000E+00,+121.09375000E-03,+4.97070312500E+00
-340.10000E-06,+1.15039062500E+00,+128.90625000E-03,+4.96679687500E+00
-340.05000E-06,+1.14746093750E+00,+126.95312500E-03,+4.97656250000E+00
-340.00000E-06,+1.15039062500E+00,+136.71875000E-03,+4.97070312500E+00
-339.95000E-06,+1.14550781250E+00,+140.62500000E-03,+4.97070312500E+00
-339.90000E-06,+1.14550781250E+00,+138.67187500E-03,+4.96289062500E+00
-339.85000E-06,+1.14160156250E+00,+144.53125000E-03,+4.98046875000E+00
-339.80000E-06,+1.14453125000E+00,+123.04687500E-03,+4.96289062500E+00
-339.75000E-06,+1.14355468750E+00,+138.67187500E-03,+4.95703125000E+00
-339.70000E-06,+1.14746093750E+00,+126.95312500E-03,+4.97070312500E+00
-339.65000E-06,+1.14746093750E+00,+128.90625000E-03,+4.96875000000E+00
-339.60000E-06,+1.14550781250E+00,+130.85937500E-03,+4.96875000000E+00
-339.55000E-06,+1.14550781250E+00,+132.81250000E-03,+4.97265625000E+00
-339.50000E-06,+1.13769531250E+00,+125.00000000E-03,+4.97070312500E+00
-339.45000E-06,+1.13769531250E+00,+132.81250000E-03,+4.96289062500E+00
-339.40000E-06,+1.13867187500E+00,+125.00000000E-03,+4.97070312500E+00
-339.35000E-06,+1.14160156250E+00,+132.81250000E-03,+4.96679687500E+00
-339.30000E-06,+1.14257812500E+00,+126.95312500E-03,+4.97460937500E+00
-339.25000E-06,+1.13867187500E+00,+128.90625000E-03,+4.96484375000E+00
-339.20000E-06,+1.13476562500E+00,+148.43750000E-03,+4.97070312500E+00
-339.15000E-06,+1.13867187500E+00,+121.09375000E-03,+4.96679687500E+00
-339.10000E-06,+1.13476562500E+00,+146.48437500E-03,+4.96484375000E+00
-339.05000E-06,+1.13281250000E+00,+132.81250000E-03,+4.96484375000E+00
-339.00000E-06,+1.13671875000E+00,+140.62500000E-03,+4.96484375000E+00
-338.95000E-06,+1.13671875000E+00,+136.71875000E-03,+4.96679687500E+00
-338.90000E-06,+1.13378906250E+00,+140.62500000E-03,+4.96875000000E+00
-338.85000E-06,+1.13183593750E+00,+125.00000000E-03,+4.96875000000E+00
-338.80000E-06,+1.13085937500E+00,+130.85937500E-03,+4.96484375000E+00
-338.75000E-06,+1.13281250000E+00,+125.00000000E-03,+4.96679687500E+00
-338.70000E-06,+1.12792968750E+00,+123.04687500E-03,+4.97265625000E+00
-338.65000E-06,+1.12890625000E+00,+138.67187500E-03,+4.96289062500E+00
-338.60000E-06,+1.12890625000E+00,+132.81250000E-03,+4.96093750000E+00
-338.55000E-06,+1.12890625000E+00,+138.67187500E-03,+4.97656250000E+00
-338.50000E-06,+1.13085937500E+00,+126.95312500E-03,+4.96289062500E+00
-338.45000E-06,+1.12890625000E+00,+140.62500000E-03,+4.96679687500E+00
-338.40000E-06,+1.12500000000E+00,+130.85937500E-03,+4.96484375000E+00
-338.35000E-06,+1.12988281250E+00,+140.62500000E-03,+4.98046875000E+00
-338.30000E-06,+1.12207031250E+00,+136.71875000E-03,+4.96679687500E+00
-338.25000E-06,+1.12988281250E+00,+136.71875000E-03,+4.96093750000E+00
-338.20000E-06,+1.12402343750E+00,+138.67187500E-03,+4.96679687500E+00
-338.15000E-06,+1.12109375000E+00,+126.95312500E-03,+4.96289062500E+00
-338.10000E-06,+1.12500000000E+00,+132.81250000E-03,+4.96875000000E+00
-338.05000E-06,+1.12207031250E+00,+128.90625000E-03,+4.96679687500E+00
-338.00000E-06,+1.12207031250E+00,+130.85937500E-03,+4.96289062500E+00
-337.95000E-06,+1.12304687500E+00,+126.95312500E-03,+4.95898437500E+00
-337.90000E-06,+1.12402343750E+00,+123.04687500E-03,+4.97070312500E+00
-337.85000E-06,+1.12500000000E+00,+126.95312500E-03,+4.96679687500E+00
-337.80000E-06,+1.12402343750E+00,+138.67187500E-03,+4.97460937500E+00
-337.75000E-06,+1.12500000000E+00,+134.76562500E-03,+4.96484375000E+00
-337.70000E-06,+1.12304687500E+00,+140.62500000E-03,+4.98046875000E+00
-337.65000E-06,+1.12109375000E+00,+132.81250000E-03,+4.96875000000E+00
-337.60000E-06,+1.12109375000E+00,+138.67187500E-03,+4.97265625000E+00
-337.55000E-06,+1.12207031250E+00,+132.81250000E-03,+4.96875000000E+00
-337.50000E-06,+1.11816406250E+00,+146.48437500E-03,+4.96679687500E+00
-337.45000E-06,+1.11523437500E+00,+140.62500000E-03,+4.97460937500E+00
-337.40000E-06,+1.12207031250E+00,+130.85937500E-03,+4.96875000000E+00
-337.35000E-06,+1.11230468750E+00,+130.85937500E-03,+4.95703125000E+00
-337.30000E-06,+1.11718750000E+00,+136.71875000E-03,+4.95312500000E+00
-337.25000E-06,+1.11621093750E+00,+128.90625000E-03,+4.96093750000E+00
-337.20000E-06,+1.11621093750E+00,+138.67187500E-03,+4.96875000000E+00
-337.15000E-06,+1.11035156250E+00,+128.90625000E-03,+4.96875000000E+00
-337.10000E-06,+1.11230468750E+00,+132.81250000E-03,+4.96289062500E+00
-337.05000E-06,+1.11230468750E+00,+136.71875000E-03,+4.96484375000E+00
-337.00000E-06,+1.11718750000E+00,+126.95312500E-03,+4.97070312500E+00
-336.95000E-06,+1.11132812500E+00,+146.48437500E-03,+4.96679687500E+00
-336.90000E-06,+1.10937500000E+00,+130.85937500E-03,+4.97265625000E+00
-336.85000E-06,+1.11914062500E+00,+150.39062500E-03,+4.97265625000E+00
-336.80000E-06,+1.11230468750E+00,+128.90625000E-03,+4.97656250000E+00
-336.75000E-06,+1.11035156250E+00,+136.71875000E-03,+4.97851562500E+00
-336.70000E-06,+1.10839843750E+00,+128.90625000E-03,+4.97265625000E+00
-336.65000E-06,+1.11328125000E+00,+126.95312500E-03,+4.96679687500E+00
-336.60000E-06,+1.10937500000E+00,+142.57812500E-03,+4.96875000000E+00
-336.55000E-06,+1.11230468750E+00,+123.04687500E-03,+4.96289062500E+00
-336.50000E-06,+1.11230468750E+00,+136.71875000E-03,+4.96875000000E+00
-336.45000E-06,+1.10839843750E+00,+128.90625000E-03,+4.96875000000E+00
-336.40000E-06,+1.11132812500E+00,+132.81250000E-03,+4.96875000000E+00
-336.35000E-06,+1.11132812500E+00,+130.85937500E-03,+4.96484375000E+00
-336.30000E-06,+1.11230468750E+00,+152.34375000E-03,+4.97656250000E+00
-336.25000E-06,+1.10546875000E+00,+123.04687500E-03,+4.96484375000E+00
-336.20000E-06,+1.10449218750E+00,+144.53125000E-03,+4.97460937500E+00
-336.15000E-06,+1.10449218750E+00,+136.71875000E-03,+4.96875000000E+00
-336.10000E-06,+1.10546875000E+00,+134.76562500E-03,+4.97070312500E+00
-336.05000E-06,+1.10937500000E+00,+140.62500000E-03,+4.97851562500E+00
