x-axis,1,2,3
second,Volt,Volt,Volt
-13.3436000E-06,-4.2832031249996E+00,-105.4687499999E-03,+4.5600004196167E+00
-13.3434000E-06,-4.3808593749999E+00,-134.7656250000E-03,+4.5697660446167E+00
-13.3432000E-06,-4.4785156250000E+00,-144.5312500000E-03,+4.5600004196167E+00
-13.3430000E-06,-4.5273437499999E+00,-144.5312500000E-03,+4.5502347946167E+00
-13.3428000E-06,-4.5078124999996E+00,-144.5312500000E-03,+4.5502347946167E+00
-13.3426000E-06,-4.4296874999994E+00,-134.7656250000E-03,+4.5502347946167E+00
-13.3424000E-06,-4.3515624999996E+00,-134.7656250000E-03,+4.5502347946167E+00
-13.3422000E-06,-4.3124999999999E+00,-134.7656250000E-03,+4.5502347946167E+00
-13.3420000E-06,-4.3027343750003E+00,-134.7656250000E-03,+4.5502347946167E+00
-13.3418000E-06,-4.3222656250011E+00,-134.7656249998E-03,+4.5502347946167E+00
-13.3416000E-06,-4.3906250000007E+00,-124.9999999998E-03,+4.5502347946167E+00
-13.3414000E-06,-4.4296875000008E+00,-115.2343750002E-03,+4.5502347946167E+00
-13.3412000E-06,-4.4687500000004E+00,-125.0000000009E-03,+4.5502347946167E+00
-13.3410000E-06,-4.4882812500010E+00,-164.0625000012E-03,+4.5502347946167E+00
-13.3408000E-06,-4.5273437500013E+00,-212.8906250011E-03,+4.5502347946167E+00
-13.3406000E-06,-4.5761718750003E+00,-251.9531250000E-03,+4.5502347946167E+00
-13.3404000E-06,-4.5859374999988E+00,-251.9531249988E-03,+4.5502347946167E+00
-13.3402000E-06,-4.5468749999971E+00,-212.8906249980E-03,+4.5502347946167E+00
-13.3400000E-06,-4.4589843749972E+00,-154.2968749990E-03,+4.5502347946167E+00
-13.3398000E-06,-4.3808593749996E+00,-125.0000000000E-03,+4.5502347946167E+00
-13.3396000E-06,-4.3710937500020E+00,-125.0000000004E-03,+4.5502347946167E+00
-13.3394000E-06,-4.4199218750021E+00,-134.7656250004E-03,+4.5502347946167E+00
-13.3392000E-06,-4.4687500000013E+00,-144.5312499987E-03,+4.5502347946167E+00
-13.3390000E-06,-4.4980468750000E+00,-115.2343749977E-03,+4.5502347946172E+00
-13.3388000E-06,-4.4980468749995E+00,-66.4062499981E-03,+4.5600004196167E+00
-13.3386000E-06,-4.4882812500000E+00,-27.3437499985E-03,+4.5600004196162E+00
-13.3384000E-06,-4.4882812500005E+00,+1.9531250016E-03,+4.5502347946141E+00
